"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"D108","SOD80,_LL-34","15750mil","2875mil","15750mil","2875mil","15814.961mil","2875mil","B","360.00","Mini MELF"
"D107","SOD80,_LL-34","12823.75mil","4375mil","12823.75mil","4375mil","12758.789mil","4375mil","B","180.00","Mini MELF"
"D106","SOD80,_LL-34","16500mil","2875mil","16500mil","2875mil","16564.961mil","2875mil","B","360.00","Mini MELF"
"D105","SOD80,_LL-34","15000mil","2875mil","15000mil","2875mil","15064.961mil","2875mil","B","360.00","Mini MELF"
"D104","SOD80,_LL-34","14140.25mil","2101.562mil","14140.25mil","2101.562mil","14075.289mil","2101.562mil","B","180.00","Mini MELF"
"D103","SOD80,_LL-34","17250mil","2875mil","17250mil","2875mil","17314.961mil","2875mil","B","360.00","Mini MELF"
"D102","SOD80,_LL-34","15000mil","3625mil","15000mil","3625mil","15064.961mil","3625mil","B","360.00","Mini MELF"
"D101","SOD80,_LL-34","11507.812mil","4351.562mil","11507.812mil","4351.562mil","11442.852mil","4351.562mil","B","180.00","Mini MELF"
"D100","SOD80,_LL-34","13687.607mil","4375.633mil","13687.607mil","4375.633mil","13752.568mil","4375.633mil","B","360.00","Mini MELF"
"D99","SOD80,_LL-34","13390mil","2851.562mil","13390mil","2851.562mil","13325.039mil","2851.562mil","B","180.00","Mini MELF"
"D98","SOD80,_LL-34","13382.812mil","2101.562mil","13382.812mil","2101.562mil","13317.852mil","2101.562mil","B","180.00","Mini MELF"
"D97","SOD80,_LL-34","15750mil","3625mil","15750mil","3625mil","15814.961mil","3625mil","B","360.00","Mini MELF"
"D96","SOD80,_LL-34","15000mil","2125mil","15000mil","2125mil","15064.961mil","2125mil","B","360.00","Mini MELF"
"D95","SOD80,_LL-34","10500mil","4375mil","10500mil","4375mil","10564.961mil","4375mil","B","360.00","Mini MELF"
"D94","SOD80,_LL-34","11156.25mil","3250mil","11156.25mil","3250mil","11221.211mil","3250mil","B","360.00","Mini MELF"
"D93","SOD80,_LL-34","10570.312mil","2851.562mil","10570.312mil","2851.562mil","10505.352mil","2851.562mil","B","180.00","Mini MELF"
"D92","SOD80,_LL-34","12375mil","2125mil","12375mil","2125mil","12439.961mil","2125mil","B","360.00","Mini MELF"
"D91","SOD80,_LL-34","15375mil","1375mil","15375mil","1375mil","15439.961mil","1375mil","B","360.00","Mini MELF"
"D90","SOD80,_LL-34","15890.625mil","1984.375mil","15890.625mil","1984.375mil","15890.625mil","2049.336mil","B","90.00","Mini MELF"
"D89","SOD80,_LL-34","9750mil","4375mil","9750mil","4375mil","9814.961mil","4375mil","B","360.00","Mini MELF"
"D88","SOD80,_LL-34","10125mil","3625mil","10125mil","3625mil","10189.961mil","3625mil","B","360.00","Mini MELF"
"D87","SOD80,_LL-34","9562.5mil","2875mil","9562.5mil","2875mil","9627.461mil","2875mil","B","360.00","Mini MELF"
"D86","SOD80,_LL-34","10593.75mil","2125mil","10593.75mil","2125mil","10658.711mil","2125mil","B","360.00","Mini MELF"
"D85","SOD80,_LL-34","10593.75mil","1375mil","10593.75mil","1375mil","10658.711mil","1375mil","B","360.00","Mini MELF"
"D84","SOD80,_LL-34","15000mil","4375mil","15000mil","4375mil","15064.961mil","4375mil","B","360.00","Mini MELF"
"D83","SOD80,_LL-34","9000mil","4375mil","9000mil","4375mil","9064.961mil","4375mil","B","360.00","Mini MELF"
